,0
996,0.5875317
997,0.74849576
998,0.5933789
999,0.48355323
1000,0.41773826
1001,0.35460338
1002,0.30669957
1003,0.39608908
1004,0.34735116
1005,0.3679458
1006,0.47157028
1007,0.399059
1008,0.36050174
1009,0.31202465
1010,0.28996384
1011,0.2585404
1012,0.23143232
1013,0.26575905
1014,0.24526264
1015,0.55790424
1016,0.49426717
1017,0.40797025
1018,0.739714
1019,2.9854186
1020,2.6640193
1021,1.8663685
1022,1.3790281
1023,1.0382825
1024,1.061305
1025,0.97895944
1026,3.38512
1027,9.378002
1028,7.4912148
1029,4.8608217
1030,4.315715
1031,2.9088562
1032,1.8499398
1033,3.7375262
1034,4.0588574
1035,4.1907396
1036,2.9517052
1037,2.1497476
1038,1.7062069
1039,1.3465499
1040,1.0908043
1041,1.3220851
1042,1.0573077
1043,0.87941134
1044,0.6205509
1045,0.4588971
1046,0.77393603
1047,0.8795026
1048,0.72575486
1049,1.0392715
1050,0.9910298
1051,0.845871
1052,1.0479827
1053,1.2727745
1054,0.88112456
1055,0.7293557
1056,0.6456714
1057,0.5804297
1058,0.56325674
1059,0.4769874
1060,0.43811095
1061,0.37283787
1062,0.29928648
1063,0.50145286
1064,0.5904957
1065,0.5027411
1066,0.43212453
1067,0.3314885
1068,0.32154328
1069,5.917702
1070,4.149293
1071,2.8822036
1072,1.9927483
1073,2.1334004
1074,1.6054416
1075,1.1910629
1076,0.9573767
1077,0.95310915
1078,1.5569711
1079,1.2243478
1080,0.99801743
1081,0.8773308
1082,0.8081423
1083,1.1488564
1084,1.1339893
1085,0.88478553
1086,0.9434521
1087,0.787557
1088,0.6364509
1089,0.5299285
1090,0.46122435
1091,0.39480782
1092,0.34883824
1093,0.3391961
1094,0.29573435
1095,0.26490226
1096,0.2405386
1097,0.22174689
1098,0.20600437
1099,0.19138187
1100,0.17869142
1101,0.16914342
1102,0.16254975
1103,0.15492307
1104,0.14897346
1105,0.21307096
1106,0.52584946
1107,0.4652884
1108,0.41713566
1109,0.37697265
1110,0.3456416
1111,0.31946647
1112,0.3451735
1113,0.32015005
1114,0.29868752
1115,0.27756473
1116,0.26148513
1117,0.24531505
1118,0.23317286
1119,0.22034365
1120,0.20638405
1121,0.19414507
1122,0.1863592
1123,0.18108718
1124,0.17654139
1125,0.16918421
1126,0.16746835
1127,0.19966164
1128,0.20027576
1129,0.18947905
1130,0.18249325
1131,0.4363367
1132,0.4091619
1133,0.381997
1134,0.35588792
1135,0.7967433
1136,0.71414936
1137,0.6368803
1138,0.57906187
1139,0.5227115
1140,0.48096898
1141,0.44111237
1142,3.1468153
1143,2.3724818
1144,8.066978
1145,8.273328
1146,6.0522623
1147,9.337493
1148,7.8026514
1149,7.3333135
1150,5.4228306
1151,3.983427
1152,18.825518
1153,19.781239
1154,28.66695
1155,28.478756
1156,22.405708
1157,14.735934
1158,9.714583
1159,6.745799
1160,4.8113537
1161,5.0210476
1162,3.7867823
1163,4.2213144
1164,3.2795377
1165,2.6604276
1166,2.2392669
1167,1.9354607
1168,1.7026958
1169,1.5256977
1170,1.4532435
1171,1.3476152
1172,3.1419587
1173,2.6017647
1174,3.3854766
1175,2.80762
1176,2.320764
1177,1.9763625
1178,1.7203221
1179,1.5242593
1180,1.5293701
1181,3.0432568
1182,2.4821234
1183,2.0893245
1184,2.1376443
1185,4.337307
1186,3.340667
1187,2.680139
1188,2.2268152
1189,1.9009547
1190,2.3791237
1191,11.756334
1192,12.148934
1193,9.326899
1194,6.95115
1195,5.134097
1196,3.8564334
1197,2.993601
1198,2.451654
1199,2.083054
1200,1.8181212
1201,1.6063373
1202,1.4186015
1203,1.5262127
1204,2.9659615
1205,5.0724854
1206,3.8854704
1207,3.5578456
1208,8.545395
1209,8.857777
1210,6.636753
1211,5.5064654
1212,4.6927075
1213,5.493763
1214,4.450202
1215,3.4412272
1216,2.7946534
1217,7.393803
1218,5.6069365
1219,4.3135967
1220,3.3150053
1221,3.9070132
1222,3.7680678
1223,3.056941
1224,2.6966958
1225,2.2745905
1226,5.4079084
1227,9.316578
1228,6.5546503
1229,4.689517
1230,3.4158635
1231,2.7894928
1232,2.3375664
1233,11.331418
1234,12.881971
1235,9.627108
1236,10.366756
1237,8.172579
1238,5.9940248
1239,4.767157
1240,3.7668922
1241,3.1237178
1242,3.4648356
1243,2.7310963
1244,3.418291
1245,2.9546514
1246,2.3387127
1247,1.9566672
1248,1.6965605
1249,1.4618127
1250,1.2658811
1251,1.1890008
1252,1.3704605
1253,1.22095
1254,1.0971993
1255,2.0591066
1256,1.7217801
1257,1.4838208
1258,1.3712066
1259,2.4186149
1260,3.9018872
1261,2.973923
1262,2.5560222
1263,2.2177675
1264,2.6522498
1265,2.2543902
1266,1.8127396
1267,11.716474
1268,8.145674
1269,5.8119974
1270,4.4005537
1271,4.258968
1272,3.3453693
1273,10.006366
1274,9.644064
1275,8.696753
1276,30.736866
1277,34.55808
1278,27.169893
1279,16.082443
1280,9.74452
1281,6.8786736
1282,5.109665
1283,3.8291326
1284,2.824122
1285,2.4538703
1286,2.180005
1287,3.9583116
1288,4.2525077
1289,4.825904
1290,3.4478269
1291,2.507574
1292,2.0906048
1293,1.6462345
1294,1.3334756
1295,1.103949
1296,1.0350802
1297,1.113558
1298,1.278697
1299,1.7750437
1300,1.5556178
1301,1.397872
1302,1.1593364
1303,1.0641149
1304,1.6328505
1305,1.7772436
1306,2.4047337
1307,4.079484
1308,12.862509
1309,10.208931
1310,6.720079
1311,4.1697006
1312,2.6564548
1313,1.7692695
1314,1.2927709
1315,0.9515749
1316,1.0201511
1317,0.8832662
1318,0.7082224
1319,0.62504905
1320,0.52213055
1321,0.459315
1322,0.4032945
1323,0.35527954
1324,0.3275128
1325,0.30491072
1326,0.28011748
1327,0.25324517
1328,0.22878858
1329,0.21524704
1330,0.19575095
